level,startExp,endExp,name,rgb
1,0,2000,"Pistachio","rgb(216,224,187)"
2,2000,4000,"Gardener","rgb(182,206,199)"
3,4000,6000,"Whirlpool","rgb(134,163,195)"
4,6000,8000,"Periwinkle","rgb(114,104,166)"
5,8000,10000,"Grape","rgb(107,48,116)"
6,10000,12000,"Salmon","rgb(255,170,176)"
7,12000,14000,"Desert","rgb(255,208,131)"
8,14000,16000,"Pumpkin","rgb(200,98,24)"
9,16000,18000,"Firetruck","rgb(214,49,24)"
10,18000,20000,"Lemon","rgb(255,246,137)"
11,20000,22000,"Mint","rgb(214,255,183)"
12,22000,24000,"Seafoam","rgb(122,231,199)"
13,24000,26000,"Seaside","rgb(29,53,87)"
14,26000,28000,"Sky","rgb(168,218,220)"
15,28000,30000,"Overcast","rgb(241,250,238)"
16,30000,32000,"Mauve","rgb(196,184,202)"
17,32000,34000,"Twilight","rgb(106,99,132)"
18,34000,36000,"Sunflower","rgb(241,212,122)"
19,36000,38000,"Magenta","rgb(211, 112, 196)"
20,38000,40000,"Ice","rgb(189, 249, 245)"
21,40000,42000,"Steel","rgb(129, 174, 216)"
22,42000,44000,"Raisin","rgb(42, 45, 52)"
23,44000,46000,"Orchid","rgb(203, 118, 158)"
24,46000,48000,"Amazon","rgb(65, 123, 90)"
25,48000,50000,"Pacific","rgb(14, 177, 210)"
26,50000,52000,"Jet","rgb(47, 45, 46)"
27,52000,54000,"Rose","rgb(250, 225, 223)"
28,54000,999999999999999,"Bistro","rgb(129, 108, 97)"
